Year,Slot,Section,Context,QuestionText,OptionA,OptionB,OptionC,OptionD,AnswerType,CorrectAnswer,ImageFiles,Unnamed: 12,Unnamed: 13,tag
2022,1,DI-LR,"The management of a university hockey team was evaluating performance of four women players - Amla, Bimla, Harita and Sarita for their possible selection in the university team for next year. For this purpose, the management was looking at the number of goals scored by them in the past 8 matches, numbered 1 through 8. The four players together had scored a total of 12 goals in these matches. In the 8 matches, each of them had scored at least one goal. No two players had scored the same total number of goals. The following facts are known about the goals scored by these four players only. All the questions refer only to the goals scored by these four players. 1. Only one goal was scored in every even numbered match. 2. Harita scored more goals than Bimla. 3. The highest goal scorer scored goals in exactly 3 matches including Match 4 and Match 8. 4. Bimla scored a goal in Match 1 and one each in three other consecutive matches. 5. An equal number of goals were scored in Match 3 and Match 7, which was different from the number of goals scored in either Match 1 or Match 5. 6. The match in which the highest number of goals was scored was unique and it was not Match 5.",Which of the following statement(s) is/are false? Statement-1: In every match at least one player scored a goal. Statement-2: No two players scored goals in the same number of matches.,None of the statements,Statement-1 only,Statement-2 only,Both the statements,MCQ,A,,,,
2022,1,DI-LR,"The management of a university hockey team was evaluating performance of four women players - Amla, Bimla, Harita and Sarita for their possible selection in the university team for next year. For this purpose, the management was looking at the number of goals scored by them in the past 8 matches, numbered 1 through 8. The four players together had scored a total of 12 goals in these matches. In the 8 matches, each of them had scored at least one goal. No two players had scored the same total number of goals. The following facts are known about the goals scored by these four players only. All the questions refer only to the goals scored by these four players. 1. Only one goal was scored in every even numbered match. 2. Harita scored more goals than Bimla. 3. The highest goal scorer scored goals in exactly 3 matches including Match 4 and Match 8. 4. Bimla scored a goal in Match 1 and one each in three other consecutive matches. 5. An equal number of goals were scored in Match 3 and Match 7, which was different from the number of goals scored in either Match 1 or Match 5. 6. The match in which the highest number of goals was scored was unique and it was not Match 5.","If Harita scored goals in one more match as compared to Sarita, which of the following statement(s) is/are necessarily true? Statement-1: Amla scored goals in consecutive matches. Statement-2: Sarita scored goals in consecutive matches.",None of the statements,Statement-1 only,Both the statements,Statement-2 only,MCQ,A,,,,
2022,1,DI-LR,"Adhara, Bithi, Chhaya, Dhanavi, Esther, and Fathima are the interviewers in a process that awards funding for new initiatives. Every interviewer individually interviews each of the candidates individually and awards a token only if she recommends funding. A token has a face value of 2, 3, 5, 7, 11, or 13. Each interviewer awards tokens of a single face value only. Once all six interviews are over for a candidate, the candidate receives a funding that is Rs.1000 times the product of the face values of all the tokens. For example, if a candidate has tokens with face values 2, 5, and 7, then they get a funding of Rs.1000 Ã (2 Ã 5 Ã 7) = Rs.70,000. Pragnyaa, Qahira, Rasheeda, Smera, and Tantra were five candidates who received funding. The funds they received, in descending order, were Rs.390,000, Rs.210,000, Rs.165,000, Rs.77,000, and Rs.66,000. The following additional facts are known: 1. Fathima awarded tokens to everyone except Qahira, while Adhara awarded tokens to no one except Pragnyaa. 2. Rashida received the highest number of tokens that anyone received, but she did not receive one from Esther. 3. Bithi awarded a token to Smera but not to Qahira, while Dhanavi awarded a token to Qahira but not to Smera.",Who among the following definitely received a token from Bithi but not from Dhanavi?,Qahira,Tantra,Pragnyaa,Rasheeda,MCQ,C,,,,
2022,1,DI-LR,"Adhara, Bithi, Chhaya, Dhanavi, Esther, and Fathima are the interviewers in a process that awards funding for new initiatives. Every interviewer individually interviews each of the candidates individually and awards a token only if she recommends funding. A token has a face value of 2, 3, 5, 7, 11, or 13. Each interviewer awards tokens of a single face value only. Once all six interviews are over for a candidate, the candidate receives a funding that is Rs.1000 times the product of the face values of all the tokens. For example, if a candidate has tokens with face values 2, 5, and 7, then they get a funding of Rs.1000 Ã (2 Ã 5 Ã 7) = Rs.70,000. Pragnyaa, Qahira, Rasheeda, Smera, and Tantra were five candidates who received funding. The funds they received, in descending order, were Rs.390,000, Rs.210,000, Rs.165,000, Rs.77,000, and Rs.66,000. The following additional facts are known: 1. Fathima awarded tokens to everyone except Qahira, while Adhara awarded tokens to no one except Pragnyaa. 2. Rashida received the highest number of tokens that anyone received, but she did not receive one from Esther. 3. Bithi awarded a token to Smera but not to Qahira, while Dhanavi awarded a token to Qahira but not to Smera.","Which of the following could be the amount of funding that Tantra received? (a) Rs. 66,000 (b) Rs. 165,000",Neither (a) nor (b),Only (a),Both (a) and (b),Only (b),MCQ,C,,,,
2022,2,DI-LR,"A few salesmen are employed to sell a product called TRICCEK among households in various housing complexes. On each day, a salesman is assigned to visit one housing complex. Once a salesman enters a housing complex, he can meet any number of households in the time available. However, if a household makes a complaint against the salesman, then he must leave the housing complex immediately and cannot meet any other household on that day. A household may buy any number of TRICCEK items or may not buy any item. The salesman needs to record the total number of TRICCEK items sold as well as the number of households met in each day. The success rate of a salesman for a day is defined as the ratio of the number of items sold to the number of households met on that day. Some details about the performances of three salesmen - Tohri, Hokli and Lahur, on two particular days are given below. 1. Over the two days, all three of them met the same total number of households, and each of them sold a total of 100 items. 2. On both days, Lahur met the same number of households and sold the same number of items. 3. Hokli could not sell any item on the second day because the first household he met on that day complained against him. 4. Tohri met 30 more households on the second day than on the first day. 5. Tohri's success rate was twice that of Lahur's on the first day, and it was 75% of Lahur's on the second day.",How many households did Lahur meet on the second day?,20 or less,between 21 and 29,between 30 and 35,more than 35,MCQ,B,,,,
2022,2,DI-LR,"A few salesmen are employed to sell a product called TRICCEK among households in various housing complexes. On each day, a salesman is assigned to visit one housing complex. Once a salesman enters a housing complex, he can meet any number of households in the time available. However, if a household makes a complaint against the salesman, then he must leave the housing complex immediately and cannot meet any other household on that day. A household may buy any number of TRICCEK items or may not buy any item. The salesman needs to record the total number of TRICCEK items sold as well as the number of households met in each day. The success rate of a salesman for a day is defined as the ratio of the number of items sold to the number of households met on that day. Some details about the performances of three salesmen - Tohri, Hokli and Lahur, on two particular days are given below. 1. Over the two days, all three of them met the same total number of households, and each of them sold a total of 100 items. 2. On both days, Lahur met the same number of households and sold the same number of items. 3. Hokli could not sell any item on the second day because the first household he met on that day complained against him. 4. Tohri met 30 more households on the second day than on the first day. 5. Tohri's success rate was twice that of Lahur's on the first day, and it was 75% of Lahur's on the second day.",How many households did Tohri meet on the first day?,more than 40,10 or less,between 11 and 20,between 21 and 40,MCQ,B,,,,
2022,2,DI-LR,"A few salesmen are employed to sell a product called TRICCEK among households in various housing complexes. On each day, a salesman is assigned to visit one housing complex. Once a salesman enters a housing complex, he can meet any number of households in the time available. However, if a household makes a complaint against the salesman, then he must leave the housing complex immediately and cannot meet any other household on that day. A household may buy any number of TRICCEK items or may not buy any item. The salesman needs to record the total number of TRICCEK items sold as well as the number of households met in each day. The success rate of a salesman for a day is defined as the ratio of the number of items sold to the number of households met on that day. Some details about the performances of three salesmen - Tohri, Hokli and Lahur, on two particular days are given below. 1. Over the two days, all three of them met the same total number of households, and each of them sold a total of 100 items. 2. On both days, Lahur met the same number of households and sold the same number of items. 3. Hokli could not sell any item on the second day because the first household he met on that day complained against him. 4. Tohri met 30 more households on the second day than on the first day. 5. Tohri's success rate was twice that of Lahur's on the first day, and it was 75% of Lahur's on the second day.",Which of the following statements is FALSE?,"Among the three, Tohri had the highest success rate on the first day.",Tohri had a higher success rate on the first day compared to the second day.,"Among the three, Lahur had the lowest success rate on the first day.","Among the three, Tohri had the highest success rate on the second day.",MCQ,D,,,,
2022,2,DI-LR,"Every day a widget supplier supplies widgets from the warehouse (W) to four locations â Ahmednagar (A), Bikrampore (B), Chitrachak (C), and Deccan Park (D). The daily demand for widgets in each location is uncertain and independent of each other. Demands and corresponding probability values (in parenthesis) are given against each location (A, B, C, and D) in the figure below. For example, there is a 40% chance that the demand in Ahmednagar will be 50 units and a 60% chance that the demand will be 70 units. The lines in the figure connecting the locations and warehouse represent two-way roads connecting those places with the distances (in km) shown beside the line. The distances in both the directions along a road are equal. For example, the road from Ahmednagar to Bikrampore and the road from Bikrampore to Ahmednagar are both 6 km long. Every day the supplier gets the information about the demand values of the four locations and creates the travel route that starts from the warehouse and ends at a location after visiting all the locations exactly once. While making the route plan, the supplier goes to the locations in decreasing order of demand. If there is a tie for the choice of the next location, the supplier will go to the location closest to the current location. Also, while creating the route, the supplier can either follow the direct path (if available) from one location to another or can take the path via the warehouse. If both paths are available (direct and via warehouse), the supplier will choose the path with minimum distance.",What is the chance that the total number of widgets delivered in a day is 260 units and the route ends at Bikrampore?,10.80%,33.33%,7.56%,17.64%,MCQ,C,images\2022_slot2_scen2_1.jpg,,,
2022,2,DI-LR,"Every day a widget supplier supplies widgets from the warehouse (W) to four locations â Ahmednagar (A), Bikrampore (B), Chitrachak (C), and Deccan Park (D). The daily demand for widgets in each location is uncertain and independent of each other. Demands and corresponding probability values (in parenthesis) are given against each location (A, B, C, and D) in the figure below. For example, there is a 40% chance that the demand in Ahmednagar will be 50 units and a 60% chance that the demand will be 70 units. The lines in the figure connecting the locations and warehouse represent two-way roads connecting those places with the distances (in km) shown beside the line. The distances in both the directions along a road are equal. For example, the road from Ahmednagar to Bikrampore and the road from Bikrampore to Ahmednagar are both 6 km long. Every day the supplier gets the information about the demand values of the four locations and creates the travel route that starts from the warehouse and ends at a location after visiting all the locations exactly once. While making the route plan, the supplier goes to the locations in decreasing order of demand. If there is a tie for the choice of the next location, the supplier will go to the location closest to the current location. Also, while creating the route, the supplier can either follow the direct path (if available) from one location to another or can take the path via the warehouse. If both paths are available (direct and via warehouse), the supplier will choose the path with minimum distance.","If the first location visited from the warehouse is Ahmednagar, then what is the chance that the total distance covered in the route is 40 km?",3.24%,30%,5.40%,18%,MCQ,D,images\2022_slot2_scen2_1.jpg,,,
2022,2,DI-LR,"Every day a widget supplier supplies widgets from the warehouse (W) to four locations â Ahmednagar (A), Bikrampore (B), Chitrachak (C), and Deccan Park (D). The daily demand for widgets in each location is uncertain and independent of each other. Demands and corresponding probability values (in parenthesis) are given against each location (A, B, C, and D) in the figure below. For example, there is a 40% chance that the demand in Ahmednagar will be 50 units and a 60% chance that the demand will be 70 units. The lines in the figure connecting the locations and warehouse represent two-way roads connecting those places with the distances (in km) shown beside the line. The distances in both the directions along a road are equal. For example, the road from Ahmednagar to Bikrampore and the road from Bikrampore to Ahmednagar are both 6 km long. Every day the supplier gets the information about the demand values of the four locations and creates the travel route that starts from the warehouse and ends at a location after visiting all the locations exactly once. While making the route plan, the supplier goes to the locations in decreasing order of demand. If there is a tie for the choice of the next location, the supplier will go to the location closest to the current location. Also, while creating the route, the supplier can either follow the direct path (if available) from one location to another or can take the path via the warehouse. If both paths are available (direct and via warehouse), the supplier will choose the path with minimum distance.","If Ahmednagar is not the first location to be visited in a route and the total route distance is 29 km, then which of the following is a possible number of widgets delivered on that day?",210,200,250,220,MCQ,A,images\2022_slot2_scen2_1.jpg,,,
2022,2,DI-LR,"A speciality supermarket sells 320 products. Each of these products was either a cosmetic product or a nutrition product. Each of these products was also either a foreign product or a domestic product. Each of these products had at least one of the two approvals â FDA or EU. The following facts are also known: 1. There were equal numbers of domestic and foreign products. 2. Half of the domestic products were FDA approved cosmetic products. 3. None of the foreign products had both the approvals, while 60 domestic products had both the approvals. 4. There were 140 nutrition products, half of them were foreign products. 5. There were 200 FDA approved products. 70 of them were foreign products and 120 of them were cosmetic products.",How many cosmetic products did not have FDA approval?,Cannot be determined,50,10,60,MCQ,D,,,,
2022,2,DI-LR,"A speciality supermarket sells 320 products. Each of these products was either a cosmetic product or a nutrition product. Each of these products was also either a foreign product or a domestic product. Each of these products had at least one of the two approvals â FDA or EU. The following facts are also known: 1. There were equal numbers of domestic and foreign products. 2. Half of the domestic products were FDA approved cosmetic products. 3. None of the foreign products had both the approvals, while 60 domestic products had both the approvals. 4. There were 140 nutrition products, half of them were foreign products. 5. There were 200 FDA approved products. 70 of them were foreign products and 120 of them were cosmetic products.",Which among the following options best represents the number of domestic cosmetic products that had both the approvals?,At least 10 and at most 60,At least 20 and at most 50,At least 10 and at most 80,At least 20 and at most 70,MCQ,A,,,,
2022,2,DI-LR,"A speciality supermarket sells 320 products. Each of these products was either a cosmetic product or a nutrition product. Each of these products was also either a foreign product or a domestic product. Each of these products had at least one of the two approvals â FDA or EU. The following facts are also known: 1. There were equal numbers of domestic and foreign products. 2. Half of the domestic products were FDA approved cosmetic products. 3. None of the foreign products had both the approvals, while 60 domestic products had both the approvals. 4. There were 140 nutrition products, half of them were foreign products. 5. There were 200 FDA approved products. 70 of them were foreign products and 120 of them were cosmetic products.","If 70 cosmetic products did not have EU approval, then how many nutrition products had both the approvals?",10,30,50,20,MCQ,A,,,,
2022,2,DI-LR,"The two plots below show data for four companies code-named A, B, C, and D over three years - 2019, 2020, and 2021. The first plot shows the revenues and costs incurred by the companies during these years. For example, in 2021, company C earned Rs.100 crores in revenue and spent Rs.30 crores. The profit of a company is defined as its revenue minus its costs. The second plot shows the number of employees employed by the company (employee strength) at the start of each of these three years, as well as the number of new employees hired each year (new hires). For example, Company B had 250 employees at the start of 2021, and 30 new employees joined the company during the year.","Considering all three years, which company had the highest annual profit?",Company C,Company B,Company A,Company D,MCQ,A,images\2022_slot2_scen4_1.jpg | images\2022_slot2_scen4_2.jpg,,,
2022,2,DI-LR,"The two plots below show data for four companies code-named A, B, C, and D over three years - 2019, 2020, and 2021. The first plot shows the revenues and costs incurred by the companies during these years. For example, in 2021, company C earned Rs.100 crores in revenue and spent Rs.30 crores. The profit of a company is defined as its revenue minus its costs. The second plot shows the number of employees employed by the company (employee strength) at the start of each of these three years, as well as the number of new employees hired each year (new hires). For example, Company B had 250 employees at the start of 2021, and 30 new employees joined the company during the year.",Which of the four companies experienced the highest annual loss in any of the years?,Company D,Company C,Company A,Company B,MCQ,A,images\2022_slot2_scen4_1.jpg | images\2022_slot2_scen4_2.jpg,,,
2022,2,DI-LR,"The two plots below show data for four companies code-named A, B, C, and D over three years - 2019, 2020, and 2021. The first plot shows the revenues and costs incurred by the companies during these years. For example, in 2021, company C earned Rs.100 crores in revenue and spent Rs.30 crores. The profit of a company is defined as its revenue minus its costs. The second plot shows the number of employees employed by the company (employee strength) at the start of each of these three years, as well as the number of new employees hired each year (new hires). For example, Company B had 250 employees at the start of 2021, and 30 new employees joined the company during the year.",The ratio of a company's annual profit to its annual costs is a measure of its performance. Which of the four companies had the lowest value of this ratio in 2019?,Company A,Company B,Company C,Company D,MCQ,A,images\2022_slot2_scen4_1.jpg | images\2022_slot2_scen4_2.jpg,,,
2022,2,DI-LR,"The two plots below show data for four companies code-named A, B, C, and D over three years - 2019, 2020, and 2021. The first plot shows the revenues and costs incurred by the companies during these years. For example, in 2021, company C earned Rs.100 crores in revenue and spent Rs.30 crores. The profit of a company is defined as its revenue minus its costs. The second plot shows the number of employees employed by the company (employee strength) at the start of each of these three years, as well as the number of new employees hired each year (new hires). For example, Company B had 250 employees at the start of 2021, and 30 new employees joined the company during the year.",The total number of employees lost in 2019 and 2020 was the least for:,Company A,Company C,Company B,Company D,MCQ,C,images\2022_slot2_scen4_1.jpg | images\2022_slot2_scen4_2.jpg,,,
2022,2,DI-LR,"The two plots below show data for four companies code-named A, B, C, and D over three years - 2019, 2020, and 2021. The first plot shows the revenues and costs incurred by the companies during these years. For example, in 2021, company C earned Rs.100 crores in revenue and spent Rs.30 crores. The profit of a company is defined as its revenue minus its costs. The second plot shows the number of employees employed by the company (employee strength) at the start of each of these three years, as well as the number of new employees hired each year (new hires). For example, Company B had 250 employees at the start of 2021, and 30 new employees joined the company during the year.","Profit per employee is the ratio of a company's profit to its employee strength. For this purpose, the employee strength in a year is the average of the employee strength at the beginning of that year and the beginning of the next year. In 2020, which of the four companies had the highest profit per employee?",Company B,Company A,Company D,Company C,MCQ,A,images\2022_slot2_scen4_1.jpg | images\2022_slot2_scen4_2.jpg,,,
2022,3,DI-LR,"All the first-year students in the computer science (CS) department in a university take both the courses (i) AI and (ii) ML. Students from other departments (non-CS students) can also take one of these two courses, but not both. Students who fail in a course get an F grade; others pass and are awarded A or B or C grades depending on their performance. The following are some additional facts about the number of students who took these two courses this year and the grades they obtained. 1. The numbers of non-CS students who took AI and ML were in the ratio 2 : 5. 2. The number of non-CS students who took either AI or ML was equal to the number of CS students. 3. The numbers of non-CS students who failed in the two courses were the same and their total is equal to the number of CS students who got a C grade in ML. 4. In both the courses, 50% of the students who passed got a B grade. But, while the numbers of students who got A and C grades were the same for AI, they were in the ratio 3 : 2 for ML. 5. No CS student failed in AI, while no non-CS student got an A grade in AI. 6. The numbers of CS students who got A, B and C grades respectively in AI were in the ratio 3 : 5 : 2, while in ML the ratio was 4 : 5 : 2. 7. The ratio of the total number of non-CS students failing in one of the two courses to the number of CS students failing in one of the two courses was 3 : 1. 8. 30 students failed in ML.",How many students took AI?,60,270,90,210,MCQ,B,,,,
2022,3,DI-LR,"All the first-year students in the computer science (CS) department in a university take both the courses (i) AI and (ii) ML. Students from other departments (non-CS students) can also take one of these two courses, but not both. Students who fail in a course get an F grade; others pass and are awarded A or B or C grades depending on their performance. The following are some additional facts about the number of students who took these two courses this year and the grades they obtained. 1. The numbers of non-CS students who took AI and ML were in the ratio 2 : 5. 2. The number of non-CS students who took either AI or ML was equal to the number of CS students. 3. The numbers of non-CS students who failed in the two courses were the same and their total is equal to the number of CS students who got a C grade in ML. 4. In both the courses, 50% of the students who passed got a B grade. But, while the numbers of students who got A and C grades were the same for AI, they were in the ratio 3 : 2 for ML. 5. No CS student failed in AI, while no non-CS student got an A grade in AI. 6. The numbers of CS students who got A, B and C grades respectively in AI were in the ratio 3 : 5 : 2, while in ML the ratio was 4 : 5 : 2. 7. The ratio of the total number of non-CS students failing in one of the two courses to the number of CS students failing in one of the two courses was 3 : 1. 8. 30 students failed in ML.",How many students got A grade in AI?,42,99,84,63,MCQ,D,,,,
