Year,Section,Slot,Topic,Question,AnswerType,Options,CorrectAnswer
2022,QA,1,,"In a village, the ratio of number of males to females is 5 : 4. The ratio of number of
                                literate males to literate females is 2 : 3. The ratio of the number of illiterate males
                                to illiterate females is 4 : 3. If 3600 males in the village are literate, then the
                                total number of females in the village is",Numerical,,43200
2022,QA,1,,"Amal buys 110 kg of syrup and 120 kg of juice, syrup being 20% less costly than juice,
                                per kg. He sells 10 kg of syrup at 10% profit and 20 kg of juice at 20% profit. Mixing
                                the remaining juice and syrup, Amal sells the mixture at â¹ 308.32 per kg and makes an
                                overall profit of 64%. Then, Amal's cost price for syrup, in rupees per kg, is",Numerical,,160
2022,QA,1,,"Let \(a\) and \(b\) be natural numbers. If \(a^2+a b+a=14\) and \(b^2+a b+b=28\), then
                                \((2 a+b)\) equals",MCQ,7 | 10 | 9 | 8,D
2022,QA,1,,"Alex invested his savings in two parts. The simple interest earned on the first part at
                                15% per annum for 4 years is the same as the simple interest earned on the second part
                                at 12% per annum for 3 years. Then, the percentage of his savings invested in the first
                                part is",MCQ,62.5% | 37.5% | 60% | 40%,B
2022,QA,1,,"In a class of 100 students, 73 like coffee, 80 like tea and 52 like lemonade. It may be
                                possible that some students do not like any of these three drinks. Then the difference
                                between the maximum and minimum possible number of students who like all the three
                                drinks is",MCQ,48 | 53 | 47 | 52,C
2022,QA,1,,"For any natural number \(n\), suppose the sum of the first \(n\) terms of an arithmetic
                                progression is \(\left(n+2 n^2\right)\). If the \(n^{\text {th }}\) term of the
                                progression is divisible by 9 , then the smallest possible value of \(n\) is",MCQ,4 | 8 | 7 | 9,C
2022,QA,1,,"All the vertices of a rectangle lie on a circle of radius \(R\). If the perimeter of the
                                rectangle is \(P\), then the area of the rectangle is",MCQ,\(\frac{P^2}{2}-2 P R\) | \(\frac{P^2}{8}-2 R^2\) | \(\frac{P^2}{16}-R^2\) | \(\frac{P^2}{8}-\frac{R^2}{2}\),B
2022,QA,1,,"The average weight of students in a class increases by 600 gm when some new students join
                                the class. If the average weight of the new students is 3 kg more than the average
                                weight of the original students, then the ratio of the number of original students to
                                the number of new students is",MCQ,1 : 2 | 3 : 1 | 1 : 4 | 4 : 1,D
2022,QA,1,,"Let \(A\) be the largest positive integer that divides all the numbers of the form
                                \(3^k+4^k+5^k\), and \(B\) be the largest positive integer that divides all the numbers
                                of the form \(4^k+3\left(4^k\right)+4^{k+2}\), where \(k\) is any positive integer. Then
                                \((A+B)\) equals",Numerical,,82
2022,QA,1,,"Let \(0 \leq a \leq x \leq 100\) and \(f(x)=|x-a|+|x-100|+|x-a-50|\). Then the maximum
                                value of \(f(x)\) becomes 100 when \(a\) is equal to",MCQ,100 | 25 | 0 | 50,D
2022,QA,2,,"In triangle \(A B C\), altitudes \(A D\) and \(B E\) are drawn to the corresponding bases. If \(\angle B A C=45^{\circ}\) and \(\angle A B C=\theta\), then \(\frac{A D}{B E}\) equals",MCQ,\(\sqrt{2} \sin \theta\) | \(\sqrt{2} \cos \theta\) | \(\frac{(\sin \theta+\cos \theta)}{\sqrt{2}}\) | 1,A
2022,QA,2,,"Working alone, the times taken by Anu, Tanu and Manu to complete any job are in the ratio 5 : 8 : 10. They accept a job which they can finish in 4 days if they all work together for 8 hours per day. However, Anu and Tanu work together for the first 6 days, working 6 hours 40 minutes per day. Then, the number of hours that Manu will take to complete the remaining job working alone is",Numerical,,6
2022,QA,2,,Regular polygons A and B have number of sides in the ratio 1 : 2 and interior angles in the ratio 3 : 4. Then the number of sides of B equals,Numerical,,10
2022,QA,2,,"If \(a\) and \(b\) are non-negative real numbers such that \(a+2 b=6\), then the average of the maximum and minimum possible values of \((a+b)\) is",MCQ,4 | 4.5 | 3.5 | 3,B
2022,QA,2,,"Manu earns â¹4000 per month and wants to save an average of â¹550 per month in a year. In the first nine months, his monthly expense was â¹3500, and he foresees that, tenth month onward, his monthly expense will increase to â¹3700. In order to meet his yearly savings target, his monthly earnings, in rupees, from the tenth month onward should be",MCQ,4200 | 4400 | 4300 | 4350,B
2022,QA,2,,"There are two containers of the same volume, first container half-filled with sugar syrup and the second container half-filled with milk. Half the content of the first container is transferred to the second container, and then the half of this mixture is transferred back to the first container. Next, half the content of the first container is transferred back to the second container. Then the ratio of sugar syrup and milk in the second container is",MCQ,5 : 6 | 5 : 4 | 6 : 5 | 4 : 5,A
2022,QA,2,,"On day one, there are 100 particles in a laboratory experiment. On day \(n\), where \(n \geq 2\), one out of every \(n\) particles produces another particle. If the total number of particles in the laboratory experiment increases to 1000 on day \(m\), then \(m\) equals",MCQ,19 | 16 | 17 | 18,A
2022,QA,2,,"The average of a non-decreasing sequence of \(N\) numbers \(a_1, a_2, \ldots, a_N\) is 300 . If \(a_1\) is replaced by \(6 a_1\), the new average becomes 400 . Then, the number of possible values of \(a_1\) is",Numerical,,14
2022,QA,2,,"Let \(r\) and \(c\) be real numbers. If \(r\) and \(-r\) are roots of \(5 x^3+c x^2-10 x+9=0\), then \(c\) equals",MCQ,\(-\frac{9}{2}\) | \(\frac{9}{2}\) | \(-4\) | \(4\),A
2022,QA,2,,"Suppose for all integers \(x\), there are two functions \(f\) and \(g\) such that \(f(x)+f(x-1)-1=0\) and \(g(x)=x^2\). If \(f\left(x^2-x\right)=5\), then the value of the sum \(f(g(5))+g(f(5))\) is",Numerical,,12
2022,QA,2,,"In an election, there were four candidates and 80% of the registered voters casted their votes. One of the candidates received 30% of the casted votes while the other three candidates received the remaining casted votes in the proportion 1 : 2 : 3. If the winner of the election received 2512 votes more than the candidate with the second highest votes, then the number of registered voters was",MCQ,40192 | 60288 | 50240 | 62800,D
2022,QA,2,,"The number of integers greater than 2000 that can be formed with the digits 0, 1, 2, 3, 4, 5, using each digit at most once, is",MCQ,1440 | 1200 | 1420 | 1480,A
2022,QA,2,,"For some natural number \(n\), assume that \((15,000)\) ! is divisible by \((n !) !\). The largest possible value of \(n\) is",MCQ,5 | 7 | 4 | 6,B
2022,QA,2,,"The number of distinct integer values of \(n\) satisfying \(\frac{4-\log _2 n}{3-\log _4 n}\lt0\), is",Numerical,,47
2022,QA,2,,"In an examination, there were 75 questions. 3 marks were awarded for each correct answer, 1 mark was deducted for each wrong answer and 1 mark was awarded for each unattempted question. Rayan scored a total of 97 marks in the examination. If the number of unattempted questions was higher than the number of attempted questions, then the maximum number of correct answers that Rayan could have given in the examination is",Numerical,,24
2022,QA,2,,"Five students, including Amit, appear for an examination in which possible marks are integers between 0 and 50, both inclusive. The average marks for all the students is 38 and exactly three students got more than 32. If no two students got the same marks and Amit got the least marks among the five students, then the difference between the highest and lowest possible marks of Amit is",MCQ,21 | 24 | 20 | 22,C
2022,QA,2,,The number of integer solutions of the equation \(\left(x^2-10\right)^{\left(x^2-3 x-10\right)}=1\) is,Numerical,,4
2022,QA,2,,"Mr. Pinto invests one-fifth of his capital at 6%, one-third at 10% and the remaining at 1%, each rate being simple interest per annum. Then, the minimum number of years required for the cumulative interest income from these investments to equal or exceed his initial capital is",Numerical,,20
2022,QA,2,,"Consider the arithmetic progression \(3,7,11, \ldots\) and let \(A_n\) denote the sum of the first \(n\) terms of this progression. Then the value of \(\frac{1}{25} \sum_{n=1}^{25} A_n\) is",MCQ,404 | 442 | 455 | 415,C
2022,QA,2,,"Let \(f(x)\) be a quadratic polynomial in \(x\) such that \(f(x) \geq 0\) for all real numbers \(x\). If \(f(2)=0\) and \(f(4)=6\), then \(f(-2)\) is equal to",MCQ,12 | 36 | 24 | 6,C
2022,QA,2,,"The length of each side of an equilateral triangle \(\mathrm{ABC}\) is \(3 \mathrm{~cm}\). Let \(\mathrm{D}\) be a point on \(\mathrm{BC}\) such that the area of triangle \(\mathrm{ADC}\) is half the area of triangle \(\mathrm{ABD}\). Then the length of \(\mathrm{AD}\), in \(\mathrm{cm}\), is",MCQ,\(\sqrt{6}\) | \(\sqrt{5}\) | \(\sqrt{8}\) | \(\sqrt{7}\),D
2022,QA,2,,"Two ships meet mid-ocean, and then, one ship goes south and the other ship goes west, both travelling at constant speeds. Two hours later, they are 60 km apart. If the speed of one of the ships is 6 km per hour more than the other one, then the speed, in km per hour, of the slower ship is",MCQ,12 | 18 | 20 | 24,B
2022,QA,3,,"Suppose \(k\) is any integer such that the equation \(2 x^2+k x+5=0\) has no real roots and the equation \(x^2+(k-5) x+1=0\) has two distinct real roots for \(x\). Then, the number of possible values of \(k\) is",MCQ,7 | 8 | 9 | 13,C
2022,QA,3,,"The minimum possible value of \(\frac{x^2-6 x+10}{3-x}\), for \(x\lt3\), is",MCQ,\(\frac{1}{2}\) | \(-\frac{1}{2}\) | \(2\) | \(-2\),C
2022,QA,3,,"Bob can finish a job in 40 days, if he works alone. Alex is twice as fast as Bob and thrice as fast as Cole in the same job. Suppose Alex and Bob work together on the first day, Bob and Cole work together on the second day, Cole and Alex work together on the third day, and then, they continue the work by repeating this three-day roster, with Alex and Bob working together on the fourth day, and so on. Then, the total number of days Alex would have worked when the job gets finished, is",Numerical,,11
2022,QA,3,,"A glass contains 500 cc of milk and a cup contains 500 cc of water. From the glass, 150 cc of milk is transferred to the cup and mixed thoroughly. Next, 150 cc of this mixture is transferred from the cup to the glass. Now, the amount of water in the glass and the amount of milk in the cup are in the ratio",MCQ,3 : 10 | 10 : 3 | 1 : 1 | 10 : 13,C
2022,QA,3,,"In an examination, the average marks of students in sections A and B are 32 and 60, respectively. The number of students in section A is 10 less than that in section B. If the average marks of all the students across both the sections combined is an integer, then the difference between the maximum and minimum possible number of students in section A is",Numerical,,63
2022,QA,3,,"Let \(r\) be a real number and \(f(x)=\left\{\begin{array}{cl}2 x-r & \text { if } x \geq r \\ r & \text { if } x\lt r\end{array}\right.\). Then, the equation \(f(x)=f(f(x))\) holds for all real values of \(x\) where",MCQ,\(x \leq r\) | \(x \geq r\) | \(x \gt r\) | \(x \neq r\),A
2022,QA,3,,"Suppose the medians BD and CE of a triangle ABC intersect at a point O. If area of triangle ABC is 108 sq. cm., then, the area of the triangle EOD, in sq. cm., is",Numerical,,9
2022,QA,3,,"The arithmetic mean of all the distinct numbers that can be obtained by rearranging the digits in 1421, including itself, is",MCQ,2442 | 2222 | 3333 | 2592,B
2022,QA,3,,"Nitu has an initial capital of \(â¹ 20,000\). Out of this, she invests \(â¹ 8,000\) at \(5.5 \%\) in bank \(A, â¹ 5,000\) at \(5.6 \%\) in bank \(B\) and the remaining amount at \(x \%\) in bank \(\mathrm{C}\), each rate being simple interest per annum. Her combined annual interest income from these investments is equal to \(5 \%\) of the initial capital. If she had invested her entire initial capital in bank C alone, then her annual interest income, in rupees, would have been",MCQ,900 | 700 | 1000 | 800,D
2022,QA,3,,"Two cars travel from different locations at constant speeds. To meet each other after starting at the same time, they take 1.5 hours if they travel towards each other, but 10.5 hours if they travel in the same direction. If the speed of the slower car is 60 km/hr, then the distance traveled, in km, by the slower car when it meets the other car while traveling towards each other, is",MCQ,150 | 100 | 90 | 120,C
2022,QA,3,,"If \(\left(\sqrt{\frac{7}{5}}\right)^{3 x-y}=\frac{875}{2401}\) and \(\left(\frac{4 a}{b}\right)^{6 x-y}=\left(\frac{2 a}{b}\right)^{y-6 x}\), for all non-zero real values of \(a\) and \(b\), then the value of \(x+y\) is",Numerical,,14
2022,QA,3,,"Moody takes 30 seconds to finish riding an escalator if he walks on it at his normal speed in the same direction. He takes 20 seconds to finish riding the escalator if he walks at twice his normal speed in the same direction. If Moody decides to stand still on the escalator, then the time, in seconds, needed to finish riding the escalator is",Numerical,,60
2022,QA,3,,"Consider six distinct natural numbers such that the average of the two smallest numbers is 14, and the average of the two largest numbers is 28. Then, the maximum possible value of the average of these six numbers is",MCQ,22.5 | 23.5 | 24 | 23,A
2022,QA,3,,"If \((3+2 \sqrt{2})\) is a root of the equation \(a x^2+b x+c=0\), and \((4+2 \sqrt{3})\) is a root of the equation \(a y^2+m y+n=0\), where \(a, b, c, m\) and \(n\) are integers, then the value of \(\left(\frac{b}{m}+\frac{c-2 b}{n}\right)\) is",MCQ,3 | 1 | 4 | 0,C
2022,QA,3,,"If \(c=\frac{16 x}{y}+\frac{49 y}{x}\) for some non-zero real numbers \(x\) and \(y\), then \(c\) cannot take the value",MCQ,-70 | 60 | -50 | -60,C
2022,QA,3,,"A group of \(N\) people worked on a project. They finished \(35 \%\) of the project by working 7 hours a day for 10 days. Thereafter, 10 people left the group and the remaining people finished the rest of the project in 14 days by working 10 hours a day. Then the value of \(N\) is",MCQ,23 | 140 | 36 | 150,B
2022,QA,3,,"The average of all 3-digit terms in the arithmetic progression 38, 55, 72, ..., is",Numerical,,548
2022,QA,3,,"In a triangle \(\mathrm{ABC}, \mathrm{AB}=\mathrm{AC}=8 \mathrm{cm}\). A circle drawn with \(\mathrm{BC}\) as diameter passes through \(\mathrm{A}\). Another circle drawn with center at A passes through B and \(\mathrm{C}\). Then the area, in sq. \(\mathrm{cm}\), of the overlapping region between the two circles is",MCQ,\(16(\pi-1)\) | \(32(\pi-1)\) | \(32 \pi\) | \(16 \pi\),B
2022,QA,3,,"A school has less than 5000 students and if the students are divided equally into teams of either 9 or 10 or 12 or 25 each, exactly 4 are always left out. However, if they are divided into teams of 11 each, no one is left out. The maximum number of teams of 12 each that can be formed out of the students in the school is",Numerical,,150
2022,QA,3,,"A donation box can receive only cheques of â¹100, â¹250, and â¹500. On one good day, the donation box was found to contain exactly 100 cheques amounting to a total sum of â¹15250. Then, the maximum possible number of cheques of â¹500 that the donation box may have contained, is",Numerical,,12
2022,QA,3,,"Two ships are approaching a port along straight routes at constant speeds. Initially, the two ships and the port formed an equilateral triangle with sides of length 24 km. When the slower ship travelled 8 km, the triangle formed by the new positions of the two ships and the port became right-angled. When the faster ship reaches the port, the distance, in km, between the other ship and the port will be",MCQ,8 | 12 | 6 | 4,B
2022,QA,3,,"The lengths of all four sides of a quadrilateral are integer valued. If three of its sides are of length 1 cm, 2 cm and 4 cm, then the total number of possible lengths of the fourth side is",MCQ,6 | 4 | 5 | 3,C
2023,QA,1,,"If \(x\) and \(y\) are positive real numbers such that \(\log _x\left(x^2+12\right)=4\) and \(3 \log _y x=1\), then \(x+y\) equals",MCQ,20 | 11 | 68 | 10,D
2023,QA,1,,"If \(x\) and \(y\) are real numbers such that \(x^2+(x-2 y-1)^2=-4 y(x+y)\), then the value \(x-2 y\) is",MCQ,0 | 1 | 2 | -1,B
2023,QA,1,,"If \(\sqrt{5 x+9}+\sqrt{5 x-9}=3(2+\sqrt{2})\), then \(\sqrt{10 x+9}\) is equal to",MCQ,\(4 \sqrt{5}\) | \(2 \sqrt{7}\) | \(3 \sqrt{31}\) | \(3 \sqrt{7}\),D
2023,QA,1,,"Let \(n\) be the least positive integer such that 168 is a factor of \(1134^n\). If \(m\) is the least positive integer such that \(1134^n\) is a factor of \(168^m\), then \(m+n\) equals",MCQ,12 | 9 | 15 | 24,C
2023,QA,1,,The number of integer solutions of equation \( 2|x|\left(x^2+1\right)=5 x^2 \) is,Numerical,,3
2023,QA,1,,"Let \(\alpha\) and \(\beta\) be the two distinct roots of the equation \(2 x^2-6 x+k=0\), such that \((\alpha+\beta)\) and \(\alpha \beta\) are the distinct roots of the equation \(x^2+p x+p=0\). Then, the value of \(8(k-p)\) is",Numerical,,6
2023,QA,1,,"The equation \(x^3+(2 r+1) x^2+(4 r-1) x+2=0\) has -2 as one of the roots. If the other two roots are real, then the minimum possible non-negative integer value of \(r\) is",Numerical,,2
2023,QA,1,,"Brishti went on an 8-hour trip in a car. Before the trip, the car had travelled a total of \(x \mathrm{~km}\) till then, where \(x\) is a whole number and is palindromic, i.e., \(x\) remains unchanged when its digits are reversed. At the end of the trip, the car had travelled a total of \(26862 \mathrm{~km}\) till then, this number again being palindromic. If Brishti never drove at more than \(110 \mathrm{~km} / \mathrm{h}\), then the greatest possible average speed at which she drove during the trip, in \(\mathrm{km} / \mathrm{h}\), was",MCQ,90 | 100 | 80 | 110,B
2023,QA,1,,"The minor angle between the hours hand and minutes hand of a clock was observed at \(8: 48 \mathrm{am}\). The minimum duration, in minutes, after 8.48 am when this angle increases by \(50 \%\) is",MCQ,\(\frac{36}{11}\) | \(\frac{24}{11}\) | 2 | 4,B
2023,QA,1,,"In an examination, the average marks of 4 girls and 6 boys is 24. Each of the girls has the same marks while each of the boys has the same marks. If the marks of any girl is at most double the marks of any boy, but not less than the marks of any boy, then the number of possible distinct integer values of the total marks of 2 girls and 6 boys is",MCQ,19 | 21 | 20 | 22,B
2023,QA,1,,"A mixture P is formed by removing a certain amount of coffee from a coffee jar and replacing the same amount with cocoa powder. The same amount is again removed from mixture P and replaced with same amount of cocoa powder to form a new mixture Q. If the ratio of coffee and cocoa in the mixture Q is 16 : 9, then the ratio of cocoa in mixture P to that in mixture Q is",MCQ,4 : 9 | 1 : 3 | 5 : 9 | 1 : 2,C
2023,QA,1,,"The salaries of three friends Sita, Gita and Mita are initially in the ratio 5 : 6 : 7, respectively. In the first year, they get salary hikes of 20%, 25% and 20%, respectively. In the second year, Sita and Mita get salary hikes of 40% and 25%, respectively, and the salary of Gita becomes equal to the mean salary of the three friends. The salary hike of Gita in the second year is",MCQ,26% | 28% | 25% | 30%,A
2023,QA,1,,"Gita sells two objects A and B at the same price such that she makes a profit of 20% on object A and a loss of 10% on object B. If she increases the selling price such that objects A and B are still sold at an equal price and a profit of 10% is made on object B, then the profit made on object A will be nearest to",MCQ,42% | 47% | 45% | 49%,B
2023,QA,1,,"Arvind travels from town A to town B, and Surbhi from town B to town A, both starting at the same time along the same route. After meeting each other, Arvind takes 6 hours to reach town B while Surbhi takes 24 hours to reach town A. If Arvind travelled at a speed of 54 km/h, then the distance, in km, between town A and town B is",Numerical,,972
2023,QA,1,,"The amount of job that Amal, Sunil and Kamal can individually do in a day, are in harmonic progression. Kamal takes twice as much time as Amal to do the same amount of job. If Amal and Sunil work for 4 days and 9 days, respectively, Kamal needs to work for 16 days to finish the remaining job. Then the number of days Sunil will take to finish the job working alone, is",Numerical,,27
2023,QA,1,,"Anil invests Rs. 22000 for 6 years in a certain scheme with 4% interest per annum, compounded half-yearly. Sunil invests in the same scheme for 5 years, and then reinvests the entire amount received at the end of 5 years for one year at 10% simple interest. If the amounts received by both at the end of 6 years are same, then the initial investment made by Sunil, in rupees, is",Numerical,,20808
2023,QA,1,,"Let \(\mathrm{C}\) be the circle \(x^2+y^2+4 x-6 y-3=0\) and \(\mathrm{L}\) be the locus of the point of intersection of a pair of tangents to \(\mathrm{C}\) with the angle between the two tangents equal to \(60^{\circ}\). Then, the point at which \(L\) touches the line \(x=6\) is",MCQ,"(6,4) | (6,8) | (6,3) | (6,6)",C
2023,QA,1,,"A quadrilateral ABCD is inscribed in a circle such that AB : CD = 2 : 1 and BC : AD = 5 : 4. If AC and BD intersect at the point E, then AE : CE equals",MCQ,1 : 2 | 5 : 8 | 8 : 5 | 2 : 1,C
2023,QA,1,,"In a right-angled triangle ABC, the altitude AB is 5 cm, and the base BC is 12 cm. P and Q are two points on BC such that the areas of ΔABP, ΔABQ and ΔABC are in arithmetic progression. If the area of ΔABC is 1.5 times the area of ΔABP, the length of PQ, in cm, is",Numerical,,2
2023,QA,1,,"For some positive and distinct real numbers \(x, y\) and \(z\), if \(\frac{1}{\sqrt{y}+\sqrt{z}}\) is the arithmetic mean of \(\frac{1}{\sqrt{x}+\sqrt{z}}\) and \(\frac{1}{\sqrt{x}+\sqrt{y}}\), then the relationship which will always hold true, is",MCQ,"\(\sqrt{x}, \sqrt{y}\) and \(\sqrt{z}\) are in arithmetic progression | \(\sqrt{x}, \sqrt{z}\) and \(\sqrt{y}\) are in arithmetic progression | \(y, x\) and \(z\) are in arithmetic progression | \(x, y\) and \(z\) are in arithmetic progression",C
2023,QA,1,,The number of all natural numbers up to 1000 with non-repeating digits is,MCQ,585 | 504 | 648 | 738,D
2023,QA,1,,"A lab experiment measures the number of organisms at 8 am every day. Starting with 2 organisms on the first day, the number of organisms on any day is equal to 3 more than twice the number on the previous day. If the number of organisms on the \(n^{\text {th }}\) day exceeds one million, then the lowest possible value of \(n\) is",Numerical,,19
2023,QA,2,,"Let \(a, b, m\) and \(n\) be natural numbers such that \(a>1\) and \(b>1\). If \(a^m b^n=144^{145}\), then the largest possible value of \(n-m\) is",MCQ,580 | 290 | 579 | 289,C
2023,QA,2,,"The sum of all possible values of \(x\) satisfying the equation \(2^{4 x^2}-2^{2 x^2+x+16}+2^{2 x+30}=0\), is",MCQ,\(\frac{3}{2}\) | \(\frac{5}{2}\) | \(\frac{1}{2}\) | 3,C
2023,QA,2,,"For any natural numbers \(m, n\), and \(k\), such that \(k\) divides both \(m+2 n\) and \(3 m+4 n, k\) must be a common divisor of",MCQ,\(2 m\) and \(3 n\) | \(m\) and \(2 n\) | \(2 m\) and \(n\) | \(m\) and \(n\),B
2023,QA,2,,"Any non-zero real numbers \(x, y\) such that \(y \neq 3\) and \(\frac{x}{y} \lt \frac{x+3}{y-3}\), will satisfy the condition",MCQ,"If \(y>10\), then \(-x>y\) | If \(x \lt 0\), then \(-x \lt y\) | If \(y \lt 0\), then \(-x \lt y\) | \(\frac{x}{y} \lt \frac{y}{x}\)",C
2023,QA,2,,"For some positive real number \(x\), if \(\log _{\sqrt{3}}(x)+\frac{\log _x(25)}{\log _x(0.008)}=\frac{16}{3}\), then the value of \(\log _3\left(3 x^2\right)\) is",Numerical,,7
2023,QA,2,,"The number of positive integers less than 50, having exactly two distinct factors other than 1 and itself, is",Numerical,,15
2023,QA,2,,"Let \(k\) be the largest integer such that the equation \((x-1)^2+2 k x+11=0\) has no real roots. If \(y\) is a positive real number, then the least possible value of \(\frac{k}{4 y}+9 y\) is",Numerical,,6
2023,QA,2,,"In a company, 20% of the employees work in the manufacturing department. If the total salary obtained by all the manufacturing employees is one-sixth of the total salary obtained by all the employees in the company, then the ratio of the average salary obtained by the manufacturing employees to the average salary obtained by the non-manufacturing employees is",MCQ,4 : 5 | 5 : 6 | 5 : 4 | 6 : 5,A
2023,QA,2,,"Minu purchases a pair of sunglasses at Rs.1000 and sells to Kanu at 20% profit. Then, Kanu sells it back to Minu at 20% loss. Finally, Minu sells the same pair of sunglasses to Tanu. If the total profit made by Minu from all her transactions is Rs.500, then the percentage of profit made by Minu when she sold the pair of sunglasses to Tanu is",MCQ,35.42% | 31.25% | 52% | 26%,B
2023,QA,2,,"Pipes A and C are fill pipes while Pipe B is a drain pipe of a tank. Pipe B empties the full tank in one hour less than the time taken by Pipe A to fill the empty tank. When pipes A, B and C are turned on together, the empty tank is filled in two hours. If pipes B and C are turned on together when the tank is empty and Pipe B is turned off after one hour, then Pipe C takes another one hour and 15 minutes to fill the remaining tank. If Pipe A can fill the empty tank in less than five hours, then the time taken, in minutes, by Pipe C to fill the empty tank is",MCQ,90 | 60 | 120 | 75,A
2023,QA,2,,"Ravi is driving at a speed of 40 km/h on a road. Vijay is 54 meters behind Ravi and driving in the same direction as Ravi. Ashok is driving along the same road from the opposite direction at a speed of 50 km/h and is 225 meters away from Ravi. The speed, in km/h, at which Vijay should drive so that all the three cross each other at the same time, is",MCQ,58.8 | 64.4 | 67.2 | 61.6,D
2023,QA,2,,"Anil borrows Rs 2 lakhs at an interest rate of 8% per annum, compounded half-yearly. He repays Rs 10320 at the end of the first year and closes the loan by paying the outstanding amount at the end of the third year. Then, the total interest, in rupees, paid over the three years is nearest to",MCQ,45311 | 51311 | 33130 | 40991,B
2023,QA,2,,"The price of a precious stone is directly proportional to the square of its weight. Sita has a precious stone weighing 18 units. If she breaks it into four pieces with each piece having distinct integer weight, then the difference between the highest and lowest possible values of the total price of the four pieces will be 288000. Then, the price of the original precious stone is",MCQ,1296000 | 1944000 | 972000 | 1620000,A
2023,QA,2,,"A container has 40 liters of milk. Then, 4 liters are removed from the container and replaced with 4 liters of water. This process of replacing 4 liters of the liquid in the container with an equal volume of water is continued repeatedly. The smallest number of times of doing this process, after which the volume of milk in the container becomes less than that of water, is",Numerical,,7
2023,QA,2,,"Jayant bought a certain number of white shirts at the rate of Rs 1000 per piece and a certain number of blue shirts at the rate of Rs 1125 per piece. For each shirt, he then set a fixed market price which was 25% higher than the average cost of all the shirts. He sold all the shirts at a discount of 10% and made a total profit of Rs 51000. If he bought both colors of shirts, then the maximum possible total number of shirts that he could have bought is",Numerical,,407
2023,QA,2,,"If a certain amount of money is divided equally among \(n\) persons, each one receives Rs 352 . However, if two persons receive Rs 506 each and the remaining amount is divided equally among the other persons, each of them receive less than or equal to Rs 330 . Then, the maximum possible value of \(n\) is",Numerical,,16
